NSN,rep_office,common_name,Description,Price,UI,AAC
7110-01-614-5409,General Products,"GSA APPROVED Security Shipboard File Cabinet, 2-Drawer Lgl","Included Lock: FF-L-2740, Style 2. Class 6-S - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size I - 2 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock. E",6191.27,EA,H
7110-01-614-5410,General Products,"GSA APPROVED Security Filing Cabinet, 2-Drawer Letter","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size X - 2 drawer, letter size. Design ML - Multiple Lock. Style K - Key changeable combination lock. Es",7444.78,EA,H
7110-01-614-5411,General Products,"GSA APPROVED Security Filing Cabinet, 5-Drawer Letter","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size IV - 5 drawer, letter size. Design ML - Multiple Lock. Style K - Key changeable combination lock. E",17561.18,EA,H
7110-01-614-5412,General Products,"GSA APPROVED Security Shipboard File Cabinet, 4-Drawer Ltr","Included Lock: FF-L-2740, Style 2. Class 6-S - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size II - 4 drawer, letter size. Design SL - Single Lock. Style K - Key changeable combination lock. E",6797.22,EA,H
7110-01-614-5413,General Products,"GSA APPROVED Security Filing Cabinet, 5-Drawer Letter","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size IV - 5 drawer, letter size. Design ML - Multiple Lock. Style K - Key changeable combination lock. E",17561.18,EA,H
7110-01-614-5414,General Products,"GSA APPROVED Security Shipboard File Cabinet, 4-Drawer Ltr","Included Lock: FF-L-2740, Style 1. Class 6-S - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size II - 4 drawer, letter size. Design ML - Multiple Lock. Style K - Key changeable combination lock.",12862.6,EA,H
7110-01-614-5415,General Products,"GSA APPROVED Security Shipboard File Cabinet, 4-Drawer Ltr","Included Lock: FF-L-2740, Style 2. Class 6-S - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size II - 4 drawer, letter size. Design ML - Multiple Lock. Style K - Key changeable combination lock.",11960.5,EA,H
7110-01-614-5416,General Products,"GSA Approved Security Weapons Container, 2-Drawer Legal","Included Lock: FF-L-2937. Class 5-W - Resistant to 10 man-minutes forced entry. Size I - 2 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock. Estimate container 850 lbs. maximum. Estimate container 12.39 cubic feet m",6383.13,EA,H
7110-01-614-5417,General Products,"GSA APPROVED Security Filing Cabinet, 5-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size V - 5 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock. Est",16356.81,EA,H
7110-01-614-5418,General Products,"GSA APPROVED Security Shipboard File Cabinet, 4-Drawer Lgl","Included Lock: FF-L-2740, Style 2. Class 6-S - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size III - 4 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock.",11770.22,EA,H
7110-01-614-5419,General Products,"GSA APPROVED Security Shipboard File Cabinet, 4-Drawer Lgl","Included Lock: FF-L-2740, Style 2. Class 6-S - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size III - 4 drawer, legal size. Design SL - Single Lock. Style K - Key changeable combination lock. E",5250.56,EA,H
7110-01-614-5420,General Products,"GSA APPROVED Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size I - 2 drawer, legal size. Design SL - Single Lock. Style K - Key changeable combination lock. Est",7670.78,EA,H
7110-01-614-5421,General Products,"GSA APPROVED Security Weapons Container, 4-Drawer Legal","Included Lock: FF-L-2937. Class 5-W - Resistant to 10 man-minutes forced entry. Size III - 4 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock. Estimate container 1,214 lbs. maximum. Estimate container 23.68 cubic fe",11768.24,EA,H
7110-01-614-5422,General Products,"GSA APPROVED Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size I - 2 drawer, legal size. Design SL - Single Lock. Style K - Key changeable combination lock. Est",7670.78,EA,H
7110-01-614-5423,General Products,"GSA APPROVED Security Filing Cabinet, 4-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size III - 4 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock.",18327.62,EA,H
7110-01-614-5424,General Products,"GSA APPROVED Security Filing Cabinet, 4-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size III - 4 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock.",18327.62,EA,H
7110-01-614-5425,General Products,"GSA APPROVED Security Filing Cabinet, 4-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size III - 4 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock.",18327.62,EA,H
7110-01-614-5426,General Products,"GSA APPROVED Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size I - 2 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock. E",9791.87,EA,H
7110-01-614-5427,General Products,"GSA APPROVED Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size I - 2 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock. E",9791.87,EA,H
7110-01-614-5428,General Products,"GSA APPROVED Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size I - 2 drawer, legal size. Design SL - Single Lock. Style K - Key changeable combination lock. Estim",4636.8,EA,H
7110-01-614-5429,General Products,"GSA Approved Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size I - 2 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock. E",9791.87,EA,H
7110-01-614-5430,General Products,"GSA APPROVED Security Filing Cabinet, 4-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size III - 4 drawer, legal size. Design SL - Single Lock. Style K - Key changeable combination lock. E",12123.01,EA,H
7110-01-614-5431,General Products,"GSA APPROVED Security Filing Cabinet, 4-Drawer Letter","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size II - 4 drawer, letter size. Design SL - Single Lock. Style K - Key changeable combination lock. Est",7551.23,EA,H
7110-01-614-5432,General Products,"GSA APPROVED Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size I - 2 drawer, legal size. Design SL - Single Lock. Style K - Key changeable combination lock. Estim",4636.8,EA,H
7110-01-614-5433,General Products,"GSA APPROVED Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size I - 2 drawer, legal size. Design SL - Single Lock. Style K - Key changeable combination lock. Estim",4636.8,EA,H
7110-01-614-5434,General Products,"GSA Approved Security Filing Cabinet, 4-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size III - 4 drawer, legal size. Design SL - Single Lock. Style K - Key changeable combination lock. E",12123.01,EA,H
7110-01-614-5435,General Products,"GSA Approved Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size I - 2 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock. Est",6868.64,EA,H
7110-01-614-5436,General Products,"GSA APPROVED Security Shipboard File Cabinet, 4-Drawer Lgl","Included Lock: FF-L-2740, Style 1. Class 6-S - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size III - 4 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock.",12551.14,EA,H
7110-01-614-5437,General Products,"GSA APPROVED Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size I - 2 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock. Est",6868.64,EA,H
7110-01-614-5438,General Products,"GSA APPROVED Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size I - 2 drawer, legal size. Design ML - Multiple Lock. Style K - Key changeable combination lock. Est",6868.64,EA,H
7110-01-614-5439,General Products,"GSA APPROVED Security Filing Cabinet, 1-Drawer Special","Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry. No forced entry requirements. Size VII - 1 drawer, special size. Design SL - Single Lock. Style K - Key changeable combination lock. E",3559.61,EA,H
7110-01-614-5440,General Products,"GSA APPROVED Security Filing Cabinet, 4-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size III - 4 drawer, legal size. Design SL - Single Lock. Style K - Key changeable combination lock. E",12123.01,EA,H
7110-01-614-5441,General Products,"GSA Approved Security Filing Cabinet, 2-Drawer Legal","Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10 man-minutes forced entry. Size I - 2 drawer, legal size. Design SL - Single Lock. Style K - Key changeable combination lock. Est",7670.78,EA,H
7110-01-614-5801,General Products,GSA APPROVED Security Map and Plan Container,"Included Lock: FF-L-2740, Style 1. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, 4",7970.14,EA,H
7110-01-614-5802,General Products,GSA APPROVED Security Map and Plan Container,"Included Lock: FF-L-2740, Style 1. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, 4",7970.14,EA,H
7110-01-614-5803,General Products,GSA APPROVED Security Map and Plan Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, 4",7836.13,EA,H
7110-01-614-5804,General Products,GSA APPROVED Security Map and Plan Container,"Included Lock: FF-L-2740, Style 1. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, 4",7970.14,EA,H
7110-01-614-5805,General Products,GSA APPROVED Security Map and Plan Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, 4",7836.13,EA,H
7110-01-614-5808,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size II. Style B - Without channel base assembly. Design K ",8369.7,EA,H
7110-01-614-5809,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size IV. Style B - Without channel base assembly. Design K ",4792.29,EA,H
7110-01-614-5810,General Products,GSA APPROVED Security Map and Plan Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousan",6904.49,EA,H
7110-01-614-5812,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size IV. Style B - Without channel base assembly. Design K ",4792.29,EA,H
7110-01-614-5813,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size II. Style B - Without channel base assembly. Design K ",8369.7,EA,H
7110-01-614-5814,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 1. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size II. Style B - Without channel base assembly. Design K ",8504.25,EA,H
7110-01-614-5815,General Products,GSA APPROVED Security Map and Plan Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, 4",7836.13,EA,H
7110-01-614-5816,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 1. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size II. Style B - Without channel base assembly. Design K ",8504.25,EA,H
7110-01-614-5817,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 1. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, ",5036.08,EA,H
7110-01-614-5818,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, ",5036.08,EA,H
7110-01-614-5819,General Products,GSA Approved Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type II - Without hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousa",4598.16,EA,H
7110-01-614-5820,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type II - Without hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousa",4598.16,EA,H
7110-01-614-5821,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type II - Without hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousa",4598.16,EA,H
7110-01-614-5822,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 1. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type II - Without hangers and suspensions. Size III. Style B - Without channel base assembly. Design ",4663.85,EA,H
7110-01-614-5823,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type II - Without hangers and suspensions. Size III. Style B - Without channel base assembly. Design ",4663.85,EA,H
7110-01-614-5824,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 1. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, ",5036.08,EA,H
7110-01-614-5826,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, ",5036.08,EA,H
7110-01-614-5827,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 1. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type II - Without hangers and suspensions. Size III. Style B - Without channel base assembly. Design ",4663.85,EA,H
7110-01-614-5828,General Products,GSA APPROVED Security Map and Plan Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousan",6904.49,EA,H
7110-01-614-5829,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size IV. Style B - Without channel base assembly. Design K ",4792.29,EA,H
7110-01-614-5830,General Products,GSA APPROVED Security Map and Plan Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousan",6904.49,EA,H
7110-01-614-5831,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type II - Without hangers and suspensions. Size III. Style B - Without channel base assembly. Design ",4663.85,EA,H
7110-01-614-5832,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 5 - Resistant to 20 man-hours surreptitious entry, 30 man-minutes covert entry and 10-man-minutes forced entry. Type II - Without hangers and suspensions. Size II. Style B - Without channel base assembly. Design K ",8369.7,EA,H
7110-01-614-5834,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 1. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, ",5036.08,EA,H
7110-01-614-5835,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 1. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type II - Without hangers and suspensions. Size III. Style B - Without channel base assembly. Design ",4663.85,EA,H
7110-01-614-5836,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type I - With hangers and suspensions. Size I - Accommodates on hangers, not less than one-thousand, ",5036.08,EA,H
7110-01-614-5837,General Products,GSA APPROVED Security General Purpose Container,"Included Lock: FF-L-2740, Style 2. Class 6 - Resistant to 20 man-hours surreptitious entry and 30 man-minutes covert entry. No forced entry requirements. Type II - Without hangers and suspensions. Size III. Style B - Without channel base assembly. Design ",4663.85,EA,H
7110-01-622-0455,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",1277.41,EA,H
7110-01-622-1760,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",955.26,EA,H
7110-01-622-1761,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",955.26,EA,H
7110-01-622-1762,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",955.26,EA,H
7110-01-622-1765,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",1277.41,EA,H
7110-01-622-1766,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",1277.41,EA,H
7110-01-622-1767,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",1277.41,EA,H
7110-01-622-1768,Office Furniture,High Back Executive Office Chair,"Mahogany Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive off",1277.41,EA,H
7110-01-622-1769,Office Furniture,High Back Executive Office Chair,"Mahogany Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive off",1277.41,EA,H
7110-01-622-1770,Office Furniture,High Back Executive Office Chair,"Mahogany Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive off",1277.41,EA,H
7110-01-622-1811,Office Furniture,High Back Executive Office Chair,"Mahogany Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive off",1277.41,EA,H
7110-01-622-2117,Office Furniture,Marker Board,"Titanium finish frame with stylish rounded corners. SKILCRAFT Total Erase® Whiteboards offer an upgraded writing surface that resists ghosting and staining, you can count on these boards to stand up to all busy office communication and collaboration needs",51.89,EA,H
7110-01-622-2118,Office Furniture,Marker Board,"Mahogany finish frame. SKILCRAFT Total Erase® Whiteboards offer an upgraded writing surface that resists ghosting and staining, you can count on these boards to stand up to all busy office communication and collaboration needs.  A light grid pattern is pr",97.62,EA,H
7110-01-622-2121,Office Furniture,Marker Board,"Titanium finish frame with stylish rounded corners. SKILCRAFT Total Erase® Whiteboards offer an upgraded writing surface that resists ghosting and staining, you can count on these boards to stand up to all busy office communication and collaboration needs",69.48,EA,H
7110-01-622-2125,Office Furniture,Marker Board,"Titanium finish aluminum frame with stylish rounded corners. SKILCRAFT Total Erase® Whiteboards offer an upgraded writing surface that resists ghosting and staining, you can count on these boards to stand up to all busy office communication and collaborat",127.1,EA,H
7110-01-622-2127,Office Furniture,Magnetic Work/Plan Kit,"Magnetic Work/Plan kit features a white, painted steel, magnetic marker board with 2"" wide x 1"" long black grid and aluminum frame.  Frame is made using 30% pre-consumer recycled aluminum. Surface can be used with magnetic accessories and write-on/wipe-of",139.51,EA,H
7110-01-622-2128,Office Furniture,Marker Board,"Mahogany finish frame. SKILCRAFT Total Erase® Whiteboards offer an upgraded writing surface that resists ghosting and staining, you can count on these boards to stand up to all busy office communication and collaboration needs.  A light grid pattern is pr",55,EA,H
7110-01-622-2129,Office Furniture,Marker Board,"Titanium finish aluminum frame with stylish rounded corners. SKILCRAFT Total Erase® Whiteboards offer an upgraded writing surface that resists ghosting and staining, you can count on these boards to stand up to all busy office communication and collaborat",372.86,EA,H
7110-01-622-2132,Office Furniture,Cubicle Board,"Make efficient use of cubicle space with the Cubicle Magnetic Dry Erase Board. The painted steel-magnetic surface doubles as a bulletin board, adding a hard-working communication space to personal workplaces. The versatile and easy to hang mounting system",25.61,EA,H
7110-01-622-2133,Office Furniture,Dry Erase Calendar Planner,"4-month dry erase calendar board allows you to track plans and events for 4 months at a time. The board is divided into 4 month sections. Individual undated day and date boxes can be used month after month and year after year.  Patented ""Easy Mount"" hangi",136.36,EA,H
7110-01-622-2829,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",914.55,EA,H
7110-01-622-2831,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",914.55,EA,H
7110-01-622-2832,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",914.55,EA,H
7110-01-622-2833,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",914.55,EA,H
7110-01-622-2837,Office Furniture,Mid Back Executive Office Chair,"Mahogany Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offi",914.55,EA,H
7110-01-622-2841,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",955.26,EA,H
7110-01-622-2842,Office Furniture,High Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style high back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive offic",955.26,EA,H
7110-01-622-2844,Office Furniture,Mid Back Executive Office Chair,"Walnut Finish Wood Base. Traditional style mid back executive office chairs feature 5-star rotary wood base available in walnut or mahogany finish. Due to current supply chain issues, delivery of this NSN may be delayed. Traditional style executive office",1236.7,EA,H
